ROLE,PLAYER,TEAM,ELIM,DEATHS,DAMAGE,HEALING,TIME PLAYED
tank,iremiix,gla,17.04,6.89,5384,0,10h
damage,jake,hou,16.11,6.96,8459,423,30h 36m
tank,janus,nye,15.84,4.89,5188,0,16h 33m
support,jjonak,nye,13.55,4.94,6814,6256,41h 58m
tank,kalios,bos,18.72,6.04,6889,129,9h 5m
support,kariv,val,10.73,4.56,4989,6453,36h 57m
support,kellex,bos,2.37,5.07,714,10055,38h 13m
damage,ksf,val,16.32,5.50,7683,1512,56m
tank,kuki,seo,14.56,5.95,5580,0,11h 4m
damage,libero,nye,16.19,5.59,7852,302,35h 29m
damage,linkzr,hou,16.51,6.99,7657,176,33h 21m
damage,logix,fla,16.10,6.76,7954,139,25h 24m
flex,manneten,fla,14.54,5.60,7170,226,33h 23m
tank,mano,nye,16.47,4.98,5142,726,27h 28m
tank,meko,nye,18.17,4.11,6942,269,41h 58m
flex,mickie,dal,15.26,6.19,6320,1389,35h 57m
tank,miro,seo,15.58,5.11,5176,0,22h 18m
damage,mistakes,bos,15.06,5.96,7809,992,19h 1m
support,moth,sfs,2.15,4.85,731,9510,21h 23m
tank,muma,hou,15.25,4.69,5575,89,34h 17m
damage,munchkin,seo,17.26,5.14,8079,489,21h 49m
support,neko,bos,12.52,6.28,5466,6584,32h 19m
support,neptuno,phi,4.86,4.62,1490,9799,37h 54m
flex,nevix,sfs,16.88,4.91,6537,218,29h 21m
tank,nomy,sfs,15.16,7.13,5145,0,19h 34m
tank,note,bos,19.15,4.75,7520,67,32h 27m
tank,numlocked,val,6.18,8.24,3790,0,10m
support,nus,ldn,2.92,4.47,797,10492,25h 34m
tank,oge,dal,13.16,5.68,6201,11,14h 53m
flex,pine,nye,16.34,6.50,7293,20,12h 55m
flex,poko,phi,17.63,4.11,7698,36,27h 12m
damage,profit,ldn,18.88,4.95,7820,756,35h 57m
support,rawkus,hou,10.54,5.60,4988,7437,35h 37m
tank,roshan,shd,11.66,9.27,4680,34,13h 27m
flex,ryujehong,seo,11.23,5.64,5030,6534,32h 51m
tank,sado,phi,14.13,5.66,6218,0,8h 30m
damage,saebyeolbe,nye,18.73,4.39,7450,143,35h 32m
damage,sayaplayer,fla,13.51,6.38,7710,180,11h 3m
flex,seagull,dal,16.31,5.82,8141,39,21h 39m
damage,shadowburn,phi,17.48,6.75,7625,233,13h 23m
support,shaz,gla,11.57,5.22,5431,8286,38h 13m
damage,silkthread,gla,19.10,5.77,8467,250,6h 18m
damage,sinatraa,sfs,16.84,5.50,8297,951,14h 10m
support,sky,shd,7.91,6.99,4249,6029,3h 26m
support,sleepy,sfs,10.66,5.06,5280,6896,35h 24m
damage,snillo,phi,19.08,3.95,7942,0,8h 39m
support,snow,bos,0,2.24,0,11093,13m
damage,soon,val,17.05,6.19,7909,97,35h 49m
flex,space,val,17.03,3.56,6703,258,20h 30m
flex,spree,hou,20.42,4.70,8192,398,3h 29m
damage,striker,bos,19.11,5.05,8204,62,38h 4m
flex,super,sfs,14.73,6.30,5936,188,16h 41m
damage,surefour,gla,15.89,5.65,7731,324,31h 24m
damage,taimou,dal,14.08,6.75,6964,657,19h 42m
support,tobi,seo,4.93,4.74,1404,9539,25h 40m
damage,tviq,fla,13.70,7.20,7956,598,34h 15m
support,unkoe,dal,9.92,5.80,4600,7708,32h 27m
support,verbo,val,4.66,4.74,1432,8725,10h 33m
flex,void,gla,16.91,4.46,6849,52,4h 4m
damage,wekeed,seo,16.50,6.16,8073,821,14h 14m
flex,xepher,seo,16.31,4.71,6465,51,6h 52m
tank,xushu,shd,10.44,6.77,6073,389,8h 19m
flex,zappis,fla,9.85,6.14,5582,559,2h 4m
support,zebbosai,fla,3.48,5.96,1283,8938,35h 23m
flex,zunba,seo,16.77,4.44,6495,110,29h 56m
support,zuppeh,fla,8.53,5.95,4562,7663,35h 23m
